"data/ca4663.tsp"
"data/dj38.tsp"
==================================================
File: "dj38.tsp" (Vertices: 38)
Running Genetic_PMX with 100 iterations...
  Iteracja 1/100 | Cost: 6656 | Time: 32 ms
  Iteracja 2/100 | Cost: 6656 | Time: 26 ms
  Iteracja 3/100 | Cost: 6656 | Time: 25 ms
  Iteracja 4/100 | Cost: 6656 | Time: 25 ms
  Iteracja 5/100 | Cost: 6656 | Time: 25 ms
  Iteracja 6/100 | Cost: 6656 | Time: 26 ms
  Iteracja 7/100 | Cost: 6656 | Time: 24 ms
  Iteracja 8/100 | Cost: 6656 | Time: 25 ms
  Iteracja 9/100 | Cost: 6656 | Time: 24 ms
  Iteracja 10/100 | Cost: 6656 | Time: 24 ms
  Iteracja 11/100 | Cost: 6656 | Time: 25 ms
  Iteracja 12/100 | Cost: 6656 | Time: 26 ms
  Iteracja 13/100 | Cost: 6656 | Time: 28 ms
  Iteracja 14/100 | Cost: 6656 | Time: 26 ms
  Iteracja 15/100 | Cost: 6656 | Time: 27 ms
  Iteracja 16/100 | Cost: 6656 | Time: 27 ms
  Iteracja 17/100 | Cost: 6656 | Time: 28 ms
  Iteracja 18/100 | Cost: 6656 | Time: 25 ms
  Iteracja 19/100 | Cost: 6656 | Time: 25 ms
  Iteracja 20/100 | Cost: 6656 | Time: 25 ms
  Iteracja 21/100 | Cost: 6656 | Time: 26 ms
  Iteracja 22/100 | Cost: 6656 | Time: 27 ms
  Iteracja 23/100 | Cost: 6656 | Time: 26 ms
  Iteracja 24/100 | Cost: 6656 | Time: 28 ms
  Iteracja 25/100 | Cost: 6656 | Time: 27 ms
  Iteracja 26/100 | Cost: 6656 | Time: 25 ms
  Iteracja 27/100 | Cost: 6656 | Time: 25 ms
  Iteracja 28/100 | Cost: 6656 | Time: 25 ms
  Iteracja 29/100 | Cost: 6656 | Time: 26 ms
  Iteracja 30/100 | Cost: 6656 | Time: 25 ms
  Iteracja 31/100 | Cost: 6656 | Time: 26 ms
  Iteracja 32/100 | Cost: 6656 | Time: 26 ms
  Iteracja 33/100 | Cost: 6656 | Time: 26 ms
  Iteracja 34/100 | Cost: 6656 | Time: 25 ms
  Iteracja 35/100 | Cost: 6656 | Time: 26 ms
  Iteracja 36/100 | Cost: 6656 | Time: 26 ms
  Iteracja 37/100 | Cost: 6656 | Time: 26 ms
  Iteracja 38/100 | Cost: 6656 | Time: 25 ms
  Iteracja 39/100 | Cost: 6656 | Time: 27 ms
  Iteracja 40/100 | Cost: 6656 | Time: 25 ms
  Iteracja 41/100 | Cost: 6656 | Time: 25 ms
  Iteracja 42/100 | Cost: 6656 | Time: 28 ms
  Iteracja 43/100 | Cost: 6656 | Time: 25 ms
